ds_n,model,strategy,n.samples,n.attributes,n.rare,p.rare,L1.mean,L1.min,L1.max,L1.sd,L2.mean,L2.min,L2.max,L3.mean,L3.min,L3.max,L3.sd,T2,T3,T4,C2.mean,C2.min,C2.max,C2.sd,C3.mean,C3.min,C3.max,C3.sd,C4.mean,S1.mean,S1.min,S1.max,S1.sd,S2.mean,S2.min,S2.max,S2.sd,S3.mean,S3.min,S3.max,S3.sd,S4.mean,S4.min,S4.max,S4.sd
analcatdata_apnea1,BG,SMT,475,11,104,21.8947368421053,0.0660185759914492,0.0001542102368988,0.751342462581732,0.0889802718078229,0.0122592727495202,0.0122592727495202,0.0122592727495202,0.0108233093954295,3.10378194541466E-07,0.558554153016488,0.0459737879278329,0.0231578947368421,0.0042105263157894,0.181818181818182,0.179581512320217,0.0199107463695156,0.315186050283636,0.109809235856926,0.855311004784689,0.802105263157895,0.96,0.0519457710763077,0.0378947368421053,0.0185209775550843,0,0.730679751279557,0.0544744928760909,0.2514064697609,0.005050505050505,0.454545454545455,0.115680765027017,0.0022380674059112,0,0.134743432214645,0.0109933873922386,0.0021273066106436,0,0.285926881684732,0.0168586341883555
analcatdata_apnea2,RF,SG,475,11,101,21.2631578947368,0.0644557797571288,3.7436104052202E-05,0.750751427600348,0.087375867296008,0.0117730170094381,0.0117730170094381,0.0117730170094381,0.0099977852884256,9.65120981522961E-10,0.536508505684577,0.0431017970986321,0.0231578947368421,0.0042105263157894,0.181818181818182,0.194500858040156,0.0044993267394498,0.32126174773064,0.113101340790169,0.837511961722488,0.757894736842105,0.96,0.0738393445517209,0.0336842105263158,0.0210406564977153,0,0.632639096779712,0.0685330091774961,0.254166133912969,0.005050505050505,0.454545454545455,0.116327920575466,0.0017696968376328,0,0.126877690523281,0.0100108247523769,0.0014186696143489,0,0.118728618330685,0.0081271654913636
analcatdata_apnea3,RF,GN,450,11,103,22.8888888888889,0.0636664579660425,0.0001068700281165,0.755844084771954,0.0873509930252305,0.0116666578613635,0.0116666578613635,0.0116666578613635,0.0098398173402655,5.29560515257576E-08,0.518006961067172,0.0438332018513727,0.0244444444444444,0.0044444444444444,0.181818181818182,0.188247049745196,0.0219980830371213,0.327113858465294,0.117571908373062,0.838989898989899,0.76,0.962222222222222,0.0732886303907822,0.0311111111111111,0.0188983021638021,0,0.813540232761857,0.0585393923747021,0.255338661076903,0.0053475935828877,0.449197860962567,0.116224668834061,0.0029128551681014,0,0.132794619826419,0.0144480203172106,0.0020244797932031,0,0.271437596097834,0.0151515535533745
analcatdata_chlamydia,MLP,GN,100,17,18,18,0.0727347813651429,9.43856520348786E-05,0.634357386812928,0.0928181523760016,0.0138194057366248,0.0138194057366248,0.0138194057366248,0.0118416485153214,8.90865131005613E-09,0.397786050871481,0.0454514354304247,0.17,0.13,0.764705882352941,0.240542856927252,0.0075062441056922,0.433629947951911,0.111905115162928,0.586470588235294,0.54,0.75,0.0589428935995032,0.09,0.0302122797706357,0,0.48966132207211,0.0751246392702443,0.242424242424242,0.117647058823529,0.352941176470588,0.0886436039991461,0.0291979040803358,0,0.996268440451557,0.130631604346049,0.000279194225465,0,0.0130194769977415,0.001561113526329
analcatdata_election2000,XG,SG,67,14,9,13.4328358208955,1.75544800700878E-17,8.36550718021093E-20,1.46359451854541E-16,2.39338564751172E-17,8.72439562485133E-34,8.72439562485133E-34,8.72439562485133E-34,0.0003673695672878,3.20842980208291E-12,0.0141998752220316,0.0018242495878018,0.208955223880597,0.0149253731343284,0.0714285714285714,0.927629177225879,0.766230515876493,0.990102961130178,0.0624681413314504,0.0149253731343284,0,0.104477611940299,0.0320648451062433,0,0.0343988454791348,5.44422264278123E-05,0.570183807326368,0.082417308764013,0.0476089725269256,0.0020788101025064,0.264087473759731,0.064290917536703,0.0029884269110785,2.96395601841718E-09,0.0929069846704981,0.0119216433081857,0.0007304355198513,5.03944294682849E-12,0.0198503540900366,0.0031294767366122
analcatdata_ncaa,MLP,WC,120,19,27,22.5,0.0773480228658633,6.39477955951094E-05,0.768409873157794,0.115299951000073,0.0191660113527055,0.0191660113527055,0.0191660113527055,0.0150818443311171,3.75303008925234E-08,0.586500008066157,0.0638260790935746,0.158333333333333,0.025,0.157894736842105,0.181540136395873,0.0130154622033118,0.74965173577607,0.193957817458753,0.748684210526316,0.0583333333333333,0.991666666666667,0.188975943131715,0.0916666666666667,0.0978641456582633,0,1,0.204295515719915,0.101882858406521,0.056390977443609,0.244360902255639,0.0475974691208959,0.0447229456018519,0,1,0.152733438048618,0.0003282732906624,0,0.0251346332499942,0.0023712502622077
analcatdata_olympic2000,DT,SMT,66,11,10,15.1515151515152,0.0503579968987513,0.0002166295178558,0.537804959408512,0.0722617687947676,0.007678573456316,0.007678573456316,0.007678573456316,0.0042487108565448,1.6127709190797E-07,0.0673363556889234,0.0099621097439661,0.166666666666667,0.0151515151515152,0.0909090909090909,0.613911338683962,0.434638629894226,1,0.150037074966653,0.319559228650138,0,0.53030303030303,0.152940949829455,0,0.0468445204264095,7.1375436381492E-06,0.95313568153232,0.142209173259476,0.129938706735103,0.0116867985452605,0.628504185237126,0.128669695576495,0.0269760793590746,5.09445291864841E-11,0.908467627410079,0.125549342754506,0.0069723753965889,1.79733376336564E-14,0.358613862219908,0.0445935986850136
analcatdata_seropositive,RF,RO,132,5,17,12.8787878787879,0.0629464002842709,0.0005932244253608,0.654932844218068,0.0828706919639093,0.0107777739893659,0.0107777739893659,0.0107777739893659,0.0070991542102801,1.17479499193291E-08,0.187970622925348,0.0207230056727293,0.0378787878787879,0.0075757575757575,0.2,0.473738413856842,0.034377166782522,0.789415317307364,0.296702742430308,0.554545454545455,0.0757575757575758,0.840909090909091,0.332013571917712,0.121212121212121,0.0450517993456925,0,0.696428571428571,0.0878509078668093,0.262871833310321,0.0046511627906976,0.628515647430376,0.225913615385957,0.0129922470882292,0,0.485012755102041,0.0664898993256552,0.0032900183109309,0,0.0421201934539236,0.0079173019648448
analcatdata_supreme,SVR,NONE,4052,7,835,20.6071076011846,0.133078908583056,9.47834028261251E-05,0.683748658008632,0.120167221432072,0.0321465933043416,0.0321465933043416,0.0321465933043416,0.0320993339332411,6.52936838116069E-08,0.637683573172064,0.073093210009278,0.0017275419545903,0.0002467917077986,0.142857142857143,0.171548639396784,0.0091572828184854,0.801081316559514,0.280587646761383,0.685446340431533,0.415350444225074,0.838845014807503,0.159807801161985,0.561451135241856,0.038151610445086,0,1,0.0816601845494075,0.207480779614644,0,0.714285714285714,0.137441148470913,0.0046695510350322,0,1,0.025670871372147,0.0019938886814222,0,0.49,0.0198512631427864
analcatdata_wildcat,SVR,GN,163,5,28,17.1779141104294,0.103304972853086,3.00726182740943E-05,0.735675285055092,0.106314853296833,0.0219054228217436,0.0219054228217436,0.0219054228217436,0.0181520954830158,2.14434681101249E-09,0.45819591681035,0.0441458444048945,0.0306748466257669,0.0061349693251533,0.2,0.436810869356456,0.0564712520170132,0.600225149461398,0.216431200817759,0.663803680981595,0.239263803680982,0.901840490797546,0.249558306037811,0.190184049079755,0.101290684624018,0,0.681818181818182,0.154612052616105,0.13975172286037,0,0.697695931035577,0.172508946700303,0.0348070780307256,0,0.464876033057851,0.0862611004837092,0.0155999086261428,0,0.297520661157025,0.0457359663485083
auto93,DT,WC,93,57,11,11.8279569892473,0.0273465248255614,2.12218110638238E-18,0.110330658990457,0.0238773797654625,0.0013118312623006,0.0013118312623006,0.0013118312623006,0.0008668893308235,4.53345164738522E-09,0.0109137082909466,0.0013603199367841,0.612903225806452,0.032258064516129,0.0526315789473684,0.278224992059495,0.0078975149310452,0.858390384004881,0.261342764181864,0.489907564610451,0.0537634408602151,0.903225806451613,0.173394003647422,0.172043010752688,0.0854607100119665,0,0.656880733944954,0.102554879037478,0.124784476003161,0.0363446323198645,0.233365747494253,0.0451248255454026,0.0171407316099709,0,0.431492298628061,0.0518004631569419,0.0006715636034415,0,0.0566440839351705,0.0059066284631541
autoPrice,RF,SG,159,15,13,8.17610062893082,0.0550133592722863,9.22423180340244E-05,0.257817671461629,0.0520300383092569,0.0057165686422022,0.0057165686422022,0.0057165686422022,0.0037969225823943,1.36936554211192E-07,0.0402003373496137,0.0069549219748601,0.0943396226415094,0.0125786163522013,0.133333333333333,0.58447846858322,0.112856602496616,0.925568463906661,0.328485418266389,0.30314465408805,0,0.993710691823899,0.338449272509675,0,0.0548308275922138,0,0.596466029794909,0.0731111772967848,0.134951067984031,0.000349040139616,0.34984032043022,0.0677896469045378,0.0072599506734557,0,0.355771724699302,0.0302143910225099,0.0017344960136267,0,0.0400273757856261,0.0058524362038565
available_power,RF,RO,1802,15,157,8.71254162042175,0.0227728083315211,5.80766779317548E-06,0.237447490170179,0.0261618290613295,0.0012026622759975,0.0012026622759975,0.0012026622759975,0.001027705041877,1.6835389483E-10,0.0397052367022687,0.0031788096122632,0.0083240843507214,0.0016648168701442,0.2,0.393082731606756,0.0384932825002573,0.839914925353844,0.285612221086637,0.604661487236404,0.0599334073251942,0.986126526082131,0.292246878175849,0.0027746947835738,0.0274988232707717,0,0.380710659898477,0.0351568783262941,0.0280394527510913,0,0.395007918960739,0.0613177499441077,0.0002631523707171,0,0.144940606560334,0.0038887526915117,0.0002973175335814,0,0.0535371251694279,0.0020907749841526
bank8FM,MLP,SG,8192,8,524,6.396484375,0.0355154626244497,2.0394669895012E-06,0.6094613757534,0.0326636751116611,0.0023281335184993,0.0023281335184993,0.0023281335184993,0.0018167302703957,2.12347007031602E-11,0.226222025263273,0.0057464246507713,0.0009765625,0.0003662109375,0.375,0.190163900648766,0.0035595364097887,0.699175463070361,0.279879723431479,0.527130126953125,0.1597900390625,0.83154296875,0.213163126458577,0.078125,0.107822252107854,0,0.778632443475519,0.105704388100094,0.265693978522773,0.0368952656671652,0.598523790415693,0.078376938675177,0.0216788204860672,0,0.606268482032657,0.0426566857626737,0.009355314045936,0,0.275807590116975,0.0222659764126262
boston,RF,WC,506,13,65,12.8458498023715,0.0726859791216613,4.34543840725626E-05,0.582192979472734,0.0744306626659809,0.0108122266402679,0.0108122266402679,0.0108122266402679,0.0079002467067341,1.459798579774E-08,0.307410564730624,0.0241933843548892,0.0256916996047431,0.0039525691699604,0.153846153846154,0.492997029529879,0.140612153826215,0.852914139492216,0.187691946214018,0.441015506232898,0.041501976284585,0.984189723320158,0.272390339783414,0.351778656126482,0.0700990099009901,0,0.737777777777778,0.0847414344923162,0.15847127644983,0.0079480346011842,0.573081079459208,0.0876622119658059,0.0113723320158103,0,0.544316049382716,0.0388385063407381,0.0042596460344593,0,0.25,0.019282525505981
california,RF,NONE,20640,8,1821,8.82267441860465,0.104670795409838,7.31702420385991E-06,1.65771617145874,0.0979125578245963,0.0205423799113969,0.0205423799113969,0.0205423799113969,0.0165341158996561,8.8741127E-12,1.50154170367597,0.0384291164893748,0.0003875968992248,4.84496124031008E-05,0.125,0.174621777294687,0.0038387551282557,0.676778109594251,0.212062423085433,0.532449127906977,0.226065891472868,0.613517441860465,0.126876820617062,0.49796511627907,0.101324644167442,0,0.922678669366312,0.117855899211614,0.126782983078556,0.0021237388556702,0.606989643385339,0.062956770022035,0.0233529497783464,0,0.723374095663135,0.0593765362531435,0.0295544009134294,0,0.904256289676612,0.0699915696064366
chatfield_4,MLP,RO,235,12,18,7.65957446808511,0.0460054841211158,9.72660072564199E-05,0.306651134187555,0.0423795870793282,0.0039048912919304,0.0039048912919304,0.0039048912919304,0.0029694648880635,4.21715458489558E-10,0.112189196543424,0.0083514744130703,0.051063829787234,0.0170212765957447,0.333333333333333,0.789104507799363,0.0910579224647125,0.933639821984984,0.225164508243528,0.106028368794326,0,0.531914893617021,0.1444811266047,0,0.072039072039072,0,0.510860484544695,0.0700903293003329,0.129977179901997,0.0130277646823937,0.472628665114995,0.0758690297651316,0.0084276351484124,0,0.104528237887953,0.0153856368026082,0.0023814936676902,0,0.094298124676047,0.0102433786988579
cholesterol,XG,GN,303,13,17,5.61056105610561,0.0839996606771031,0.0002363436209241,0.645779325658743,0.0717437345956712,0.0121861191094714,0.0121861191094714,0.0121861191094714,0.0110336105256914,7.75091286704838E-08,0.297559946570618,0.0216711701806646,0.0429042904290429,0.0099009900990099,0.230769230769231,0.0888161277013881,0.0027029633856586,0.191252990236847,0.065609288656744,0.717440974866717,0.551155115511551,0.966996699669967,0.140561636390736,0.231023102310231,0.12582025461913,0,0.805936073059361,0.106666321142162,0.315462818103787,0.0478165984579383,0.688330078363496,0.109889364591211,0.0276873233704805,0,0.649532953858343,0.0538685156747087,0.0061149949936202,0,0.265599131223915,0.0238057309766339
chscase_census2,SVR,SG,400,7,32,8,0.124218746452169,1.5791258605379E-05,0.523736526990008,0.094406332198854,0.0243205711404906,0.0243205711404906,0.0243205711404906,0.0237610766708119,1.29009262134302E-07,0.265492479664418,0.0347835308647093,0.0175,0.01,0.571428571428571,0.0289961552506487,0.0001682823333175,0.0686387607969065,0.0232775491201679,0.576071428571429,0.5525,0.6125,0.0185885909709616,0.5075,0.170233239494628,3.11235605352511E-05,0.619203236850296,0.130238300109457,0.15442674802762,0.0515952607997764,0.310282481108592,0.0520890818888303,0.0489675045520509,3.03776799996323E-06,0.383412648525884,0.0679078549561223,0.0160757303928472,0,0.26158721302871,0.0385955413116816
chscase_census3,DT,GN,400,7,27,6.75,0.128408666023897,0.0003889299989515,0.51919249829273,0.10026250546298,0.0265162240867464,0.0265162240867464,0.0265162240867464,0.0258492694988097,8.33119748640083E-07,0.237243650198065,0.036792665985258,0.0175,0.01,0.571428571428571,0.0451719494392154,0.0157158393926665,0.076734995386104,0.0251974317438555,0.575357142857143,0.55,0.595,0.0172861078270825,0.4525,0.185685045948205,0,0.730000000000006,0.141142264875017,0.189372430266092,0.0682882955249231,0.396392121355066,0.054658388251273,0.0544605277777785,0,0.532900000000008,0.0762560804762514,0.0198711575968425,0,0.351112856847329,0.0534001945326425
chscase_census5,DT,WC,400,7,13,3.25,0.153135435602229,0.0003187111346835,0.524999699672408,0.10870716762092,0.0352381668085166,0.0352381668085166,0.0352381668085166,0.034518972399229,3.09966636077918E-08,0.279994166669524,0.0453857420938754,0.0175,0.01,0.571428571428571,0.0256623918204081,0.0028873201221745,0.0359492538721685,0.0107095742827164,0.580357142857143,0.55,0.595,0.0155743225794743,0.5875,0.202145023051455,0,0.729938271604937,0.151807055146302,0.178249477755258,0.0626101945944173,0.430399824662847,0.0541777432275295,0.0653751690862674,0,0.532809880353603,0.0875713831018077,0.0247140404619631,0,0.663923182441712,0.0685362108878065
chscase_census6,XG,GN,400,6,22,5.5,0.118397234893845,8.97619186553376E-05,0.705808825315908,0.0923427205038643,0.022523765315488,0.022523765315488,0.022523765315488,0.0218052223958959,7.66597314531375E-07,0.36167612958282,0.0360733503963659,0.015,0.0125,0.833333333333333,0.0287167622053257,0.0097166866402309,0.0397913149261542,0.0111275006839721,0.582916666666667,0.5575,0.6,0.0168386955155875,0.4925,0.158641974858605,0.0009987394550566,0.842383399592747,0.130805864933499,0.117629012267072,0.0109392200350583,0.433999254431738,0.0616204878015878,0.0409072702547094,9.97480499086814E-07,0.709609791909434,0.0664397943179223,0.0242901722959697,0,0.504641987888355,0.0557941719452921
cloud,SVR,WC,108,9,7,6.48148148148148,0.03945740473884,0.0002415907719931,0.353215686120759,0.0441395419269778,0.0034871461431969,0.0034871461431969,0.0034871461431969,0.0029118200155598,2.32367873641374E-09,0.109115891258373,0.0111121595526037,0.0833333333333333,0.0555555555555556,0.666666666666667,0.329485100918176,0.0225045013504502,0.871148693028853,0.380589310202862,0.465020576131687,0.0462962962962963,0.75,0.300918011925059,0.0462962962962963,0.0783644859813084,0,0.588333333333333,0.0974711495933387,0.325313011271699,0.0107439617471465,0.584941522855536,0.149674450633552,0.0155041923868313,0,0.346136111111111,0.0480619105313912,0.00070753227623,0,0.0190915758564311,0.0024437019748769
cocomo_numeric,XG,SMT,60,56,10,16.6666666666667,0.0133371292989794,3.51275303025238E-19,0.11018541854498,0.022893943143018,0.0006932761066961,0.0006932761066961,0.0006932761066961,0.0004075488985661,5.89816045468591E-32,0.0066317265526826,0.0010594248169869,0.933333333333333,0.0166666666666667,0.0178571428571429,0.192421212334847,0.0048821455768692,0.948696252518008,0.151777532485545,0.61577380952381,0,0.85,0.131403443940275,0.116666666666667,0.0811992170536293,0,0.594132937244708,0.136552788747362,0.245210610022188,2.12180879956545E-05,0.500055167028789,0.14811381557866,0.0255312603590152,0,0.352993947119025,0.0745818923590428,0.000732049854019,0,0.0297835637141666,0.003995534006106
compactiv,RF,SG,8192,21,713,8.70361328125,0.0610900922393535,1.50845274114009E-06,1.17999362379846,0.0750558204079736,0.0093646878789363,0.0093646878789363,0.0093646878789363,0.0075162047451466,4.962943487E-11,0.986413588584653,0.0325119996055388,0.0025634765625,0.0003662109375,0.142857142857143,0.543953581306698,0.274745301623593,0.809354700871191,0.157925194988014,0.431966145833333,0.0723876953125,0.9931640625,0.313288942878367,0.0009765625,0.0233589712285842,0,0.96969696969697,0.0302885159555124,0.0535145218519577,0.0004892276803182,0.25624038830327,0.0337186603242548,0.0011885570708664,0,0.514335271911029,0.0077587230309605,0.0006136499326837,0,0.090423828600521,0.0019193235165003
concreteStrength,BG,WC,1030,8,55,5.33980582524272,0.102333919349967,3.91756465556595E-05,0.429174359675607,0.0785546841813411,0.0166370783511063,0.0166370783511063,0.0166370783511063,0.0130804715179252,9.243978402607E-08,0.126754527715726,0.0177854900230725,0.0077669902912621,0.0048543689320388,0.625,0.291910244097174,0.0778297189088437,0.596027634033773,0.175990427233547,0.64126213592233,0.431067961165049,0.893203883495146,0.172653385882466,0.609708737864078,0.0825916370926452,0,0.616668742992401,0.0742342089200079,0.19603172706787,0,0.517614229659714,0.111942635500734,0.0123183095198269,0,0.380280338583828,0.0233776532395674,0.0070560622521804,0,0.249113930951589,0.0199285318822432
cps_85_wages,XG,SG,534,23,43,8.05243445692884,0.068696701013285,4.86715392786045E-15,0.8050862804207,0.0683530679349203,0.009382629296831,0.009382629296831,0.009382629296831,0.0075105394918716,3.91559022348922E-07,0.128370457673267,0.0153284341602119,0.0430711610486891,0.0018726591760299,0.0434782608695652,0.168851916495147,0.049119581205706,0.381342545284443,0.0854655598851279,0.627503663898388,0.49250936329588,0.99438202247191,0.124734121680134,0.172284644194757,0.0915529102240625,0,0.879310344827586,0.0900014887350638,0.274491419871566,0.001735693418113,0.674907630177006,0.111469238542431,0.016420684212115,0,0.773186682520809,0.0422686541642035,0.0052050839030388,0,0.367822489913499,0.0215292020291569
cpu,RF,SG,8192,21,713,8.70361328125,0.0225606498936522,3.40737065870845E-18,0.216934683812328,0.0249361000356801,0.0011278168455273,0.0011278168455273,0.0011278168455273,0.0008527547642353,6.77084746073638E-34,0.0253803305015903,0.0024242121919605,0.172248803827751,0.0047846889952153,0.0277777777777778,0.203539744497946,0.0120693975119599,0.94062381513894,0.26075774317952,0.461057947900053,0,0.655502392344498,0.144127997671144,0.0382775119617225,0.0238065287124976,0,0.565821749795585,0.0572146617652988,0.0527262593970145,0,0.123907040162859,0.0290087083696784,0.0020032733650184,0,0.159869200904709,0.0129138339578701,0.00024362660753,0,0.0213143204496463,0.0019391510523629
cpu_act,DT,SMT,209,36,33,15.7894736842105,0.0610900922393535,1.50845274116481E-06,1.17999362379846,0.0750558204079736,0.0093646878789363,0.0093646878789363,0.0093646878789363,0.0068413460174597,1.10163838796189E-11,0.292843243277082,0.0265789970375441,0.0025634765625,0.0003662109375,0.142857142857143,0.543953581306698,0.274745301623593,0.809354700871191,0.157925194988014,0.431966145833333,0.0723876953125,0.9931640625,0.313288942878367,0.0009765625,0.0233589712285842,0,0.96969696969697,0.0302885159555124,0.0533945228803,0.0005543843699279,0.268383027309703,0.0339852598291378,0.0011885570708664,0,0.514335271911029,0.0077587230309605,0.0006070814849596,0,0.150589040400393,0.0023507891705464
debutanizer,RF,SMT,2394,7,240,10.0250626566416,0.0987263264168208,6.52979898277588E-05,0.776525500501408,0.100481990281356,0.0198393004256595,0.0198393004256595,0.0198393004256595,0.0183774232628315,6.62482692449276E-11,0.599302146662775,0.0529304042744937,0.0029239766081871,0.0016708437761069,0.571428571428571,0.103456934037382,0.016431093803264,0.319558932322561,0.106181616479124,0.55531686358754,0.503759398496241,0.623224728487886,0.0485269488495683,0.378028404344194,0.0366676145591308,0,0.79159526,0.0712786703060526,0.128499539925975,0.0034777628571428,0.559230332857143,0.0742597721433005,0.0047377348476005,0,0.626623055654467,0.0279887157542751,0.0142580757278135,0,0.724029640385174,0.0483499337542707
